dataset,noise_level,loss_fn,feature_noise,accuracy,precision,recall,f1_score,final_train_loss,final_val_loss,epochs,decision_boundary_path,confusion_matrix_path,loss_curve_path
circles,0.0,BCELoss,0.2,0.42777777777777776,0.4057971014492754,0.3111111111111111,0.3522012578616352,0.6927845180034637,0.6999381184577942,300,results/circles_decision_boundary_noise_0.00_BCELoss.png,results/circles_confusion_noise_0.00_BCELoss.png,results/circles_loss_curve_noise_0.00_BCELoss.png
circles,0.0,BCEWithLogitsLoss,0.2,0.42777777777777776,0.4057971014492754,0.3111111111111111,0.3522012578616352,0.6927845137459892,0.6999381184577942,300,results/circles_decision_boundary_noise_0.00_BCEWithLogitsLoss.png,results/circles_confusion_noise_0.00_BCEWithLogitsLoss.png,results/circles_loss_curve_noise_0.00_BCEWithLogitsLoss.png
circles,0.1,BCELoss,0.2,0.43333333333333335,0.25,0.06666666666666667,0.10526315789473684,0.6945131846836635,0.6928435067335764,300,results/circles_decision_boundary_noise_0.10_BCELoss.png,results/circles_confusion_noise_0.10_BCELoss.png,results/circles_loss_curve_noise_0.10_BCELoss.png
circles,0.1,BCEWithLogitsLoss,0.2,0.43333333333333335,0.25,0.06666666666666667,0.10526315789473684,0.6945131931986127,0.6928434868653616,300,results/circles_decision_boundary_noise_0.10_BCEWithLogitsLoss.png,results/circles_confusion_noise_0.10_BCEWithLogitsLoss.png,results/circles_loss_curve_noise_0.10_BCEWithLogitsLoss.png
circles,0.2,BCELoss,0.2,0.46111111111111114,0.4567901234567901,0.4111111111111111,0.4327485380116959,0.6925032309123448,0.7047244310379028,300,results/circles_decision_boundary_noise_0.20_BCELoss.png,results/circles_confusion_noise_0.20_BCELoss.png,results/circles_loss_curve_noise_0.20_BCELoss.png
circles,0.2,BCEWithLogitsLoss,0.2,0.46111111111111114,0.4567901234567901,0.4111111111111111,0.4327485380116959,0.6925032436847687,0.7047244409720103,300,results/circles_decision_boundary_noise_0.20_BCEWithLogitsLoss.png,results/circles_confusion_noise_0.20_BCEWithLogitsLoss.png,results/circles_loss_curve_noise_0.20_BCEWithLogitsLoss.png
circles,0.3,BCELoss,0.2,0.49444444444444446,0.5056179775280899,0.4891304347826087,0.4972375690607735,0.6905436558382851,0.6900961001714071,300,results/circles_decision_boundary_noise_0.30_BCELoss.png,results/circles_confusion_noise_0.30_BCELoss.png,results/circles_loss_curve_noise_0.30_BCELoss.png
circles,0.3,BCEWithLogitsLoss,0.2,0.49444444444444446,0.5056179775280899,0.4891304347826087,0.4972375690607735,0.6905436600957598,0.6900961001714071,300,results/circles_decision_boundary_noise_0.30_BCEWithLogitsLoss.png,results/circles_confusion_noise_0.30_BCEWithLogitsLoss.png,results/circles_loss_curve_noise_0.30_BCEWithLogitsLoss.png
circles,0.4,BCELoss,0.2,0.5333333333333333,0.5333333333333333,0.6153846153846154,0.5714285714285714,0.6834506647927421,0.6906058490276337,300,results/circles_decision_boundary_noise_0.40_BCELoss.png,results/circles_confusion_noise_0.40_BCELoss.png,results/circles_loss_curve_noise_0.40_BCELoss.png
circles,0.4,BCEWithLogitsLoss,0.2,0.5333333333333333,0.5333333333333333,0.6153846153846154,0.5714285714285714,0.6834506477628436,0.6906058291594187,300,results/circles_decision_boundary_noise_0.40_BCEWithLogitsLoss.png,results/circles_confusion_noise_0.40_BCEWithLogitsLoss.png,results/circles_loss_curve_noise_0.40_BCEWithLogitsLoss.png
classification,0.0,BCELoss,0.2,0.9944444444444445,0.989010989010989,1.0,0.994475138121547,0.02049725642427802,0.02226298302412033,300,results/classification_decision_boundary_noise_0.00_BCELoss.png,results/classification_confusion_noise_0.00_BCELoss.png,results/classification_loss_curve_noise_0.00_BCELoss.png
classification,0.0,BCEWithLogitsLoss,0.2,0.9944444444444445,0.989010989010989,1.0,0.994475138121547,0.020513652491250207,0.022280375473201275,300,results/classification_decision_boundary_noise_0.00_BCEWithLogitsLoss.png,results/classification_confusion_noise_0.00_BCEWithLogitsLoss.png,results/classification_loss_curve_noise_0.00_BCEWithLogitsLoss.png
classification,0.1,BCELoss,0.2,0.95,0.9347826086956522,0.9662921348314607,0.9502762430939227,0.3151839167944023,0.2298444335659345,300,results/classification_decision_boundary_noise_0.10_BCELoss.png,results/classification_confusion_noise_0.10_BCELoss.png,results/classification_loss_curve_noise_0.10_BCELoss.png
classification,0.1,BCEWithLogitsLoss,0.2,0.95,0.9347826086956522,0.9662921348314607,0.9502762430939227,0.3151839199875082,0.22984442859888077,300,results/classification_decision_boundary_noise_0.10_BCEWithLogitsLoss.png,results/classification_confusion_noise_0.10_BCEWithLogitsLoss.png,results/classification_loss_curve_noise_0.10_BCEWithLogitsLoss.png
classification,0.2,BCELoss,0.2,0.9111111111111111,0.8924731182795699,0.9325842696629213,0.9120879120879121,0.3519431874155998,0.3135678420464198,300,results/classification_decision_boundary_noise_0.20_BCELoss.png,results/classification_confusion_noise_0.20_BCELoss.png,results/classification_loss_curve_noise_0.20_BCELoss.png
classification,0.2,BCEWithLogitsLoss,0.2,0.9111111111111111,0.8924731182795699,0.9325842696629213,0.9120879120879121,0.35194320338112967,0.3135678544640541,300,results/classification_decision_boundary_noise_0.20_BCEWithLogitsLoss.png,results/classification_confusion_noise_0.20_BCEWithLogitsLoss.png,results/classification_loss_curve_noise_0.20_BCEWithLogitsLoss.png
classification,0.3,BCELoss,0.2,0.8722222222222222,0.8586956521739131,0.8876404494382022,0.8729281767955801,0.4660360323531287,0.4131886114676793,300,results/classification_decision_boundary_noise_0.30_BCELoss.png,results/classification_confusion_noise_0.30_BCELoss.png,results/classification_loss_curve_noise_0.30_BCELoss.png
classification,0.3,BCEWithLogitsLoss,0.2,0.8722222222222222,0.8586956521739131,0.8876404494382022,0.8729281767955801,0.46603600893701824,0.4131885866324107,300,results/classification_decision_boundary_noise_0.30_BCEWithLogitsLoss.png,results/classification_confusion_noise_0.30_BCEWithLogitsLoss.png,results/classification_loss_curve_noise_0.30_BCEWithLogitsLoss.png
classification,0.4,BCELoss,0.2,0.8,0.8292682926829268,0.7555555555555555,0.7906976744186046,0.5243924111127853,0.5190754979848862,300,results/classification_decision_boundary_noise_0.40_BCELoss.png,results/classification_confusion_noise_0.40_BCELoss.png,results/classification_loss_curve_noise_0.40_BCELoss.png
classification,0.4,BCEWithLogitsLoss,0.2,0.8,0.8292682926829268,0.7555555555555555,0.7906976744186046,0.5243924004690987,0.5190755079189936,300,results/classification_decision_boundary_noise_0.40_BCEWithLogitsLoss.png,results/classification_confusion_noise_0.40_BCEWithLogitsLoss.png,results/classification_loss_curve_noise_0.40_BCEWithLogitsLoss.png
moons,0.0,BCELoss,0.2,0.8833333333333333,0.9058823529411765,0.8555555555555555,0.88,0.2939228756087167,0.2872895499070485,300,results/moons_decision_boundary_noise_0.00_BCELoss.png,results/moons_confusion_noise_0.00_BCELoss.png,results/moons_loss_curve_noise_0.00_BCELoss.png
moons,0.0,BCEWithLogitsLoss,0.2,0.8833333333333333,0.9058823529411765,0.8555555555555555,0.88,0.2939228830592973,0.2872895412147045,300,results/moons_decision_boundary_noise_0.00_BCEWithLogitsLoss.png,results/moons_confusion_noise_0.00_BCEWithLogitsLoss.png,results/moons_loss_curve_noise_0.00_BCEWithLogitsLoss.png
moons,0.1,BCELoss,0.2,0.7944444444444444,0.8021978021978022,0.7934782608695652,0.7978142076502732,0.4711746924689838,0.47610272467136383,300,results/moons_decision_boundary_noise_0.10_BCELoss.png,results/moons_confusion_noise_0.10_BCELoss.png,results/moons_loss_curve_noise_0.10_BCELoss.png
