latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews,price,is_entire,is_private,is_shared,dist_copacabana,dist_ipanema,dist_leblon,dist_cristo_redentor,dist_pao_de_acucar,dist_sdumont_airport,dist_min_praias_sul,dist_min_turistico,dist_media_praias_sul,has_wifi,has_ac,has_pool,has_beachfront,has_kitchen,has_parking,has_washer,amenities_count,amen_lux_abs,amen_lux_rel,geo_cluster,geo_cluster_mean_price,geo_cluster_0,geo_cluster_1,geo_cluster_2,geo_cluster_3,geo_cluster_4,geo_cluster_5,geo_cluster_6,geo_cluster_7,geo_cluster_8,geo_cluster_9,accommodates_per_bedroom,accommodates_per_bathroom,beds_per_bedroom,stay_span,has_reviews
-22.97333,-43.18857,7,2.0,3.0,6.0,5,90,13,800.0,1.0,0.0,0.0,0.69768983,2.016101,3.7794883,3.274067,4.297184,7.467746,0.69768983,3.274067,2.1644263,1.0,1.0,0.0,0.0,1.0,0.0,0.0,30.0,-75.18486,0.8917345,6.0,681.2583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.3333333,3.5,2.0,85.0,1.0
-22.9682,-43.18523,4,1.0,1.0,2.0,2,28,28,220.0,1.0,0.0,0.0,0.44745067,2.6355546,4.323682,3.1589763,3.6742618,6.8148804,0.44745067,3.1589763,2.4688957,1.0,1.0,0.0,0.0,1.0,0.0,0.0,40.0,-96.716484,0.8607291,6.0,681.2583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,2.0,26.0,1.0
-22.91668,-43.192287,2,1.0,1.0,1.0,2,730,36,401.0,0.0,1.0,0.0,6.1388655,7.5507836,8.283814,4.3378425,5.0864725,3.0698044,6.1388655,4.3378425,7.324488,1.0,1.0,0.0,0.0,0.0,0.0,1.0,31.0,0.7788978,1.0011216,1.0,478.42426,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,728.0,1.0
-22.94274,-43.19016,4,2.0,2.0,2.0,3,30,38,399.0,1.0,0.0,0.0,3.2571042,4.7842855,5.8324676,2.3184402,3.5036626,4.5399694,3.2571042,2.3184402,4.624619,1.0,0.0,0.0,0.0,1.0,1.0,1.0,47.0,-100.52622,0.8552431,1.0,478.42426,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,27.0,1.0
-22.96392,-43.17114,4,1.0,1.0,2.0,4,90,3,198.0,1.0,0.0,0.0,1.3854845,4.082074,5.8308268,4.245825,2.2858496,6.0078344,1.3854845,2.2858496,3.7661285,1.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,43.882545,1.0631905,6.0,681.2583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,2.0,86.0,1.0
-22.96362,-43.17071,2,1.0,1.0,2.0,2,31,65,320.0,1.0,0.0,0.0,1.4406887,4.137124,5.8847194,4.2773585,2.2318237,5.968884,1.4406887,2.2318237,3.820844,1.0,0.0,0.0,1.0,1.0,0.0,1.0,19.0,-72.35677,0.8958069,6.0,681.2583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,29.0,1.0
-22.963629,-43.17224,2,1.0,1.0,2.0,2,40,26,243.0,1.0,0.0,0.0,1.3150164,4.005056,5.741898,4.1284876,2.3379242,5.9924307,1.3150164,2.3379242,3.6873233,1.0,1.0,0.0,1.0,1.0,0.0,0.0,30.0,-101.73742,0.853499,6.0,681.2583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,38.0,1.0
-22.962833,-43.169964,1,1.5,1.0,0.0,1,365,7,87.0,0.0,0.0,1.0,1.5538328,4.2487006,5.9907756,4.3248467,2.1156757,5.872549,1.5538328,2.1156757,3.9311028,1.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,-63.35392,0.9087709,6.0,681.2583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6666667,0.0,364.0,1.0
-22.98473,-43.19852,4,2.0,2.0,3.0,3,120,57,801.0,1.0,0.0,0.0,2.255724,0.655032,2.5078037,3.8510625,5.9014263,9.02586,0.655032,3.8510625,1.8061866,1.0,1.0,0.0,0.0,1.0,1.0,0.0,15.0,157.68741,1.2270684,6.0,681.2583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.5,117.0,1.0
-22.91813,-43.24164,2,1.0,1.0,1.0,1,30,1,300.0,0.0,1.0,0.0,8.469803,8.199177,7.741287,4.926397,9.345982,8.089888,7.741287,4.926397,8.136756,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,136.94426,1.1971985,4.0,401.52313,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,29.0,1.0
